"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
660021.000000,0.519401,-0.536379,2.833305,2.833305,0.693147,0.693147,2.204944,-2.197225,-1.173191,-0.255498,3.730880,6.910000,-53.231250,-47.742512,120.462500,129.123577,3.800000,5.236364,2.472727,4.909091,NaN,1.436364,2.327273,NaN,2.363636,3.127273,2.690909,6.000000,1.000000,3.781818,NaN,1.363636,4.727273,NaN,2.981818,5.000000
660022.000000,1.289758,0.032845,2.674205,2.674205,0.693147,0.693147,2.016239,-2.197225,-1.965454,-0.271839,6.569890,6.910000,-61.676067,-56.154246,137.352133,146.013210,4.800000,6.000000,3.636364,5.727273,NaN,1.218182,2.472727,NaN,3.909091,3.600000,3.000000,6.000000,1.054545,4.036364,NaN,1.672727,4.654545,NaN,3.000000,5.000000
660023.000000,2.246066,0.267669,0.479880,0.479880,0.693147,0.693147,2.431991,-2.197225,-0.835776,-0.558816,3.353890,6.910000,-45.248406,-39.501546,104.496811,113.157889,3.636364,5.272727,2.472727,4.927273,NaN,1.054545,2.763636,NaN,2.690909,3.763636,2.418182,6.000000,1.000000,3.927273,NaN,1.200000,4.818182,NaN,2.981818,5.000000
660024.000000,0.412055,-0.363568,2.484211,2.484211,0.693147,0.693147,1.830601,-2.197225,-1.897306,0.180225,3.384239,6.910000,-65.367362,-59.747587,144.734725,153.395802,4.036364,5.727273,3.181818,5.000000,NaN,2.490909,3.654545,NaN,3.418182,3.363636,2.763636,6.000000,1.018182,4.000000,NaN,1.763636,4.800000,NaN,3.000000,5.000000
660025.000000,0.340500,0.599079,2.066484,2.066484,0.693147,0.693147,1.989271,-2.197225,-3.760324,0.459247,6.778516,6.910000,-78.923366,-73.281130,171.846733,180.507810,3.618182,5.527273,2.400000,5.200000,NaN,3.036364,4.090909,NaN,4.618182,5.472727,2.418182,6.000000,1.018182,3.872727,NaN,2.000000,4.909091,NaN,3.054545,5.109091
660026.000000,2.927566,0.418707,1.841601,1.841601,0.693147,0.693147,2.053111,-2.197225,-0.208368,-0.504228,1.792105,6.910000,-31.395407,-25.735765,76.790813,85.451891,3.054545,4.327273,2.000000,4.672727,NaN,1.963636,2.727273,NaN,2.836364,3.636364,2.181818,5.981818,1.000000,3.927273,NaN,1.018182,4.672727,NaN,2.981818,5.000000
660027.000000,1.022037,-0.205026,2.154025,2.154025,0.693147,0.693147,1.754842,-2.197225,-2.434810,0.182650,5.793840,6.910000,-68.140288,-62.467651,150.280576,158.941653,4.472727,6.000000,3.872727,5.690909,NaN,1.563636,2.436364,NaN,2.327273,3.909091,2.890909,6.000000,1.145455,4.000000,NaN,1.436364,4.781818,NaN,2.981818,5.000000
660028.000000,1.511990,0.193151,3.083923,3.083923,0.693147,0.693147,1.908055,-2.197225,-1.378906,0.653149,8.134774,6.910000,-75.954706,-70.634365,165.909411,174.570489,5.163636,6.000000,4.418182,5.927273,NaN,2.927273,4.654545,NaN,3.709091,5.200000,3.054545,6.000000,1.818182,4.181818,NaN,2.000000,4.363636,NaN,3.054545,5.000000
660029.000000,0.914033,0.017838,2.560478,2.560478,0.693147,0.693147,2.303573,-2.197225,-3.187082,0.634929,0.830044,6.910000,-24.856672,-19.463012,63.713344,72.374421,3.981818,5.654545,3.145455,4.818182,NaN,2.981818,4.345455,NaN,3.963636,4.563636,2.690909,6.000000,1.181818,4.000000,NaN,2.000000,4.981818,NaN,3.000000,5.090909
660030.000000,-0.690750,0.509474,2.213013,2.213013,0.693147,0.693147,1.881631,-2.197225,-0.550312,-0.307075,5.473896,6.910000,-65.149086,-59.476960,144.298173,152.959250,1.454545,3.545455,1.163636,3.090909,NaN,2.963636,3.509091,NaN,4.254545,4.636364,2.036364,6.000000,1.000000,3.363636,NaN,1.781818,4.909091,NaN,2.963636,5.000000
