width,height,subject_nr,avatar_file,gender,other_ratee,block_nr,rater_name,rater_file,ratee_type,ratee_name,ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,comment,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,rater_avatar,ratee_avatar
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,0,1,1,caring,indifferent,caring,caring,indifferent,79,indifferent,false,false,,1682619176584,1682619200780,1682619260031,1682619268501,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,1,0,0,wise,naive,naive,naive,wise,59,wise,true,false,,1682619176584,1682619200780,1682619271804,1682619280077,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,2,1,1,consistent,inconsistent,consistent,consistent,inconsistent,85,inconsistent,false,false,,1682619176584,1682619200780,1682619287555,1682619298961,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,3,0,0,trustworthy,untrustworthy,untrustworthy,untrustworthy,trustworthy,25,untrustworthy,false,true,,1682619176584,1682619200780,1682619303850,1682619313339,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,4,1,0,confident,self-doubting,self-doubting,confident,self-doubting,50,self-doubting,false,true,,1682619176584,1682619200780,1682619317325,1682619332909,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,5,0,1,precise,clumsy,precise,clumsy,precise,77,precise,true,true,,1682619176584,1682619200780,1682619335293,1682619341598,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,6,1,1,supportive,critical,supportive,supportive,critical,79,critical,false,false,,1682619176584,1682619200780,1682619344634,1682619349422,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,7,1,0,polite,rude,rude,polite,rude,21,polite,true,false,,1682619176584,1682619200780,1682619351033,1682619357195,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,8,0,0,relaxed,tense,tense,tense,relaxed,69,relaxed,true,false,,1682619176584,1682619200780,1682619359099,1682619372996,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,9,0,0,organised,disorganised,disorganised,disorganised,organised,25,disorganised,false,true,,1682619176584,1682619200780,1682619375478,1682619382561,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,10,1,0,active,lazy,lazy,active,lazy,88,lazy,false,true,,1682619176584,1682619200780,1682619385082,1682619395210,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,11,1,1,fun,boring,fun,fun,boring,12,fun,true,true,,1682619176584,1682619200780,1682619396998,1682619403457,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,12,0,0,generous,greedy,greedy,greedy,generous,88,generous,true,false,,1682619176584,1682619200780,1682619404851,1682619424843,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,13,1,1,diligent,thoughtless,diligent,diligent,thoughtless,77,thoughtless,false,false,,1682619176584,1682619200780,1682619426037,1682619432332,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,14,0,1,versatile,inflexible,versatile,inflexible,versatile,10,inflexible,false,false,,1682619176584,1682619200780,1682619433885,1682619448159,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,15,0,1,sociable,avoidant,sociable,avoidant,sociable,50,sociable,true,true,,1682619176584,1682619200780,1682619449489,1682619459940,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,16,0,1,focused,distracted,focused,distracted,focused,13,distracted,false,false,,1682619176584,1682619200780,1682619462042,1682619468863,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,17,1,0,friendly,hostile,hostile,friendly,hostile,84,hostile,false,true,,1682619176584,1682619200780,1682619470340,1682619475993,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,18,0,1,exceptional,mediocre,exceptional,mediocre,exceptional,4,mediocre,false,false,,1682619176584,1682619200780,1682619477431,1682619482434,,,,,female9,
876,412,2,male5,m,,0,Zara,,you,Jason,male10,neutral,-99,1,0,mature,childish,childish,mature,childish,93,childish,false,true,,1682619176584,1682619200780,1682619483603,1682619497995,1,35,1682619499808,1682619520542,female9,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,0,0,1,lively,inactive,lively,inactive,lively,42,inactive,false,false,,1682619176584,1682619520543,1682619532663,1682619545050,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,1,0,1,peaceful,argumentative,peaceful,argumentative,peaceful,79,peaceful,true,true,,1682619176584,1682619520543,1682619546370,1682619551340,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,2,0,1,trusting,suspicious,trusting,suspicious,trusting,79,trusting,true,true,,1682619176584,1682619520543,1682619554078,1682619558137,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,3,0,1,rational,unrealistic,rational,unrealistic,rational,86,rational,true,true,,1682619176584,1682619520543,1682619559582,1682619563377,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,4,1,1,warm-hearted,uncaring,warm-hearted,warm-hearted,uncaring,9,warm-hearted,true,true,,1682619176584,1682619520543,1682619564546,1682619568342,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,5,1,0,patient,impatient,impatient,patient,impatient,7,patient,true,false,,1682619176584,1682619520543,1682619569556,1682619572999,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,6,0,1,tidy,messy,tidy,messy,tidy,88,tidy,true,true,,1682619176584,1682619520543,1682619574669,1682619580030,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,7,0,1,imaginative,uninventive,imaginative,uninventive,imaginative,16,uninventive,false,false,,1682619176584,1682619520543,1682619581094,1682619591289,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,8,1,0,smart,foolish,foolish,smart,foolish,4,smart,true,false,,1682619176584,1682619520543,1682619592457,1682619596359,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,9,1,1,flexible,strict,flexible,flexible,strict,83,strict,false,false,,1682619176584,1682619520543,1682619598337,1682619604316,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,10,0,1,helpful,selfish,helpful,selfish,helpful,90,helpful,true,true,,1682619176584,1682619520543,1682619605736,1682619610564,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,11,1,1,tactful,tactless,tactful,tactful,tactless,43,tactful,true,true,,1682619176584,1682619520543,1682619611628,1682619623194,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,12,1,0,pleasant,obnoxious,obnoxious,pleasant,obnoxious,78,obnoxious,false,true,,1682619176584,1682619520543,1682619625150,1682619632285,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,13,1,1,enthusiastic,unenthusiastic,enthusiastic,enthusiastic,unenthusiastic,30,enthusiastic,true,true,,1682619176584,1682619520543,1682619634253,1682619647262,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,14,1,1,responsible,reckless,responsible,responsible,reckless,4,responsible,true,true,,1682619176584,1682619520543,1682619649015,1682619660425,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,15,1,1,approachable,unfriendly,approachable,approachable,unfriendly,26,approachable,true,true,,1682619176584,1682619520543,1682619675416,1682619691475,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,16,0,0,alert,inattentive,inattentive,inattentive,alert,16,inattentive,false,true,,1682619176584,1682619520543,1682619693387,1682619698356,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,17,0,1,encouraging,negative,encouraging,negative,encouraging,81,encouraging,true,true,,1682619176584,1682619520543,1682619699681,1682619707171,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,18,1,1,brave,cowardly,brave,brave,cowardly,77,cowardly,false,false,,1682619176584,1682619520543,1682619708633,1682619717609,,,,,male13,
876,412,2,male5,m,,1,Ian,,other,Jason,male10,like,-99,0,1,committed,uncomitted,committed,uncomitted,committed,97,committed,true,true,,1682619176584,1682619520543,1682619719180,1682619723459,1,87,1682619724605,1682619732460,male13,
876,412,2,male5,m,,2,Kevin,,other,Jason,male10,dislike,0,0,0,productive,unproductive,unproductive,unproductive,productive,86,productive,true,false,,1682619176584,1682619732461,1682619756782,1682619764713,,,,,male11,
